date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:35:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2016%20Jan%202018%2020:35:41%20GMT	https://playpalsapp.co/?p=83	/home/boss/websites/Israel%20angel/playpalsapp.co/index55e4.html	(from https://playpalsapp.co/how-to-use/)
22:35:42	2204/2204	---MCZ	200	added ('OK')	text/xml	date:Tue,%2016%20Jan%202018%2020:35:41%20GMT	https://playpalsapp.co/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fplaypalsapp.co%2Fhow-to-use%2F&format=xml	/home/boss/websites/Israel%20angel/playpalsapp.co/wp-json/oembed/1.0/embed1420	(from https://playpalsapp.co/how-to-use/)
22:35:42	2341/2341	---M--	200	added ('OK')	image/png	etag:%225a058b6e-925%22	https://playpalsapp.co/wp-content/uploads/2017/11/icon-map.png	/home/boss/websites/Israel%20angel/playpalsapp.co/wp-content/uploads/2017/11/icon-map.png	(from https://playpalsapp.co/how-to-use/)
22:35:42	2085/2085	---M--	200	added ('OK')	image/png	etag:%225a058b6e-825%22	https://playpalsapp.co/wp-content/uploads/2017/11/icon-list.png	/home/boss/websites/Israel%20angel/playpalsapp.co/wp-content/uploads/2017/11/icon-list.png	(from https://playpalsapp.co/how-to-use/)
22:35:44	2799/2799	---M--	200	added ('OK')	image/png	etag:%225a058ba6-aef%22	https://playpalsapp.co/wp-content/uploads/2017/11/icon-event.png	/home/boss/websites/Israel%20angel/playpalsapp.co/wp-content/uploads/2017/11/icon-event.png	(from https://playpalsapp.co/how-to-use/)
22:35:44	123798/123798	---M--	200	added ('OK')	image/png	etag:%225a058ba0-1e396%22	https://playpalsapp.co/wp-content/uploads/2017/11/app-screen-map-1.png	/home/boss/websites/Israel%20angel/playpalsapp.co/wp-content/uploads/2017/11/app-screen-map-1.png	(from https://playpalsapp.co/how-to-use/)
22:35:45	91181/91181	---M--	200	added ('OK')	image/png	etag:%225a058b9e-1642d%22	https://playpalsapp.co/wp-content/uploads/2017/11/app-screen-list-1.png	/home/boss/websites/Israel%20angel/playpalsapp.co/wp-content/uploads/2017/11/app-screen-list-1.png	(from https://playpalsapp.co/how-to-use/)
22:35:45	3856/3856	---M--	200	added ('OK')	image/png	etag:%225a058ba7-f10%22	https://playpalsapp.co/wp-content/uploads/2017/11/icon-filter-game.png	/home/boss/websites/Israel%20angel/playpalsapp.co/wp-content/uploads/2017/11/icon-filter-game.png	(from https://playpalsapp.co/how-to-use/)
22:35:46	2385/2385	---M--	200	added ('OK')	image/png	etag:%225a058ba7-951%22	https://playpalsapp.co/wp-content/uploads/2017/11/icon-filter-date.png	/home/boss/websites/Israel%20angel/playpalsapp.co/wp-content/uploads/2017/11/icon-filter-date.png	(from https://playpalsapp.co/how-to-use/)
22:35:46	119024/119024	---M--	200	added ('OK')	image/png	etag:%225a058b98-1d0f0%22	https://playpalsapp.co/wp-content/uploads/2017/11/app-screen-event-1.png	/home/boss/websites/Israel%20angel/playpalsapp.co/wp-content/uploads/2017/11/app-screen-event-1.png	(from https://playpalsapp.co/how-to-use/)
22:35:46	69836/69836	---M--	200	added ('OK')	image/png	etag:%225a058b9c-110cc%22	https://playpalsapp.co/wp-content/uploads/2017/11/app-screen-filter-games-1.png	/home/boss/websites/Israel%20angel/playpalsapp.co/wp-content/uploads/2017/11/app-screen-filter-games-1.png	(from https://playpalsapp.co/how-to-use/)
22:35:46	2654/2654	---M--	200	added ('OK')	image/png	etag:%225a058ba8-a5e%22	https://playpalsapp.co/wp-content/uploads/2017/11/icon-filter-location.png	/home/boss/websites/Israel%20angel/playpalsapp.co/wp-content/uploads/2017/11/icon-filter-location.png	(from https://playpalsapp.co/how-to-use/)
22:35:47	74954/74954	---M--	200	added ('OK')	image/png	etag:%225a058b9a-124ca%22	https://playpalsapp.co/wp-content/uploads/2017/11/app-screen-filter-date-1.png	/home/boss/websites/Israel%20angel/playpalsapp.co/wp-content/uploads/2017/11/app-screen-filter-date-1.png	(from https://playpalsapp.co/how-to-use/)
22:35:47	2573/2573	---M--	200	added ('OK')	image/png	etag:%225a058ba5-a0d%22	https://playpalsapp.co/wp-content/uploads/2017/11/icon-create.png	/home/boss/websites/Israel%20angel/playpalsapp.co/wp-content/uploads/2017/11/icon-create.png	(from https://playpalsapp.co/how-to-use/)
22:35:47	66506/66506	---M--	200	added ('OK')	image/png	etag:%225a058b9b-103ca%22	https://playpalsapp.co/wp-content/uploads/2017/11/app-screen-filter-distance-1.png	/home/boss/websites/Israel%20angel/playpalsapp.co/wp-content/uploads/2017/11/app-screen-filter-distance-1.png	(from https://playpalsapp.co/how-to-use/)
